Operateur;X;Y;2G;3G;4G
20820;126310;2353680;1;1;1
20810;126313;2353683;1;1;1
20801;126624;2339664;0;1;0
20810;126630;2363560;1;1;1
20820;126630;2363560;1;1;1
20815;126669;2363580;0;1;1
20810;126740;2399930;1;1;1
20820;126740;2399930;1;1;1
20810;126870;2369630;1;1;1
20820;126870;2369630;1;1;1
20801;127040;2409110;1;1;1
20801;127214;2411032;1;1;0
20801;127325;2336936;0;1;1
20801;127365;2407450;1;1;0
20810;127397;2407468;1;1;1
20820;127405;2407470;1;1;1
20810;127431;2350722;1;1;1
20820;127500;2350630;1;1;1
20820;127530;2349340;1;1;1
20815;127530;2349316;0;1;1
20810;127540;2349335;1;1;1
20810;127782;2342513;1;1;1
20820;127787;2342513;1;1;1
20810;127860;2425640;1;1;1
20820;127860;2425640;1;1;1
20810;127907;2362209;1;1;1
20820;127907;2362209;1;1;1
20801;128004;2409648;0;1;1
20820;128160;2414940;1;1;1
20810;128165;2414932;1;1;1
20801;128271;2345426;1;1;0
20815;128382;2410091;0;1;1
20801;128495;2355145;1;1;0
20810;129135;2416812;1;1;1
20820;129136;2416819;1;1;1
20801;129146;2416821;1;1;1
20820;129206;2363390;1;0;0
20810;129993;2408408;1;1;1
20820;130020;2408440;1;1;1
20801;130034;2342600;1;1;1
20810;130103;2390910;1;1;0
20820;130103;2390910;1;0;0
20801;130103;2390910;1;1;0
20801;130104;2364686;1;1;1
20801;131236;2348050;1;1;0
20820;131309;2347970;1;1;1
20810;131311;2347963;1;1;1
20815;131313;2347958;0;1;1
20801;131950;2337875;1;1;0
20810;132098;2422669;1;1;1
20820;132100;2422655;1;1;1
20810;132216;2343284;1;1;1
20820;132224;2343290;1;1;1
20815;132231;2343298;0;1;1
20820;132298;2435258;1;0;0
20801;132422;2337764;1;1;1
20820;132549;2337984;1;0;0
20810;132628;2384646;1;1;1
20820;132628;2384646;1;1;1
20810;132667;2429733;1;1;1
20820;132675;2429730;1;1;1
20815;132692;2338893;0;1;1
20810;132700;2338906;0;1;0
20820;132700;2338900;1;0;0
20801;132700;2338890;1;1;0
20810;132875;2377320;1;1;1
20820;132879;2377335;1;1;1
20815;132881;2377366;0;1;1
20801;133020;2384940;1;1;0
20801;133150;2377500;1;1;0
20801;133330;2341160;1;1;0
20815;133406;2429184;0;1;1
20801;133410;2429210;1;1;0
20810;133442;2435283;0;1;0
20801;133600;2337000;1;1;1
20820;133700;2340338;1;1;1
20810;133704;2340333;1;1;1
20815;133902;2422602;0;1;1
20820;133910;2422610;1;1;1
20801;134123;2410950;1;1;0
20820;134175;2349775;1;1;1
20810;134180;2349725;1;1;1
20801;134430;2425430;1;1;0
20801;134851;2336377;1;1;0
20801;134880;2431440;1;1;0
20810;134899;2431420;1;1;1
20820;134900;2431417;1;1;1
20810;134924;2426533;1;1;1
20801;134936;2426514;1;1;1
20820;134947;2426513;1;1;1
20810;135400;2366720;1;1;1
20820;135400;2366720;1;1;1
20810;135407;2338148;1;1;1
20820;135410;2338160;1;1;1
20801;135410;2338160;1;1;0
20801;136112;2351185;1;1;0
20801;136153;2336000;0;1;0
20810;136304;2432317;1;1;1
20820;136304;2432317;1;1;1
20801;136347;2432358;0;1;1
20810;136732;2350768;1;1;1
20820;136737;2350749;1;1;1
20815;136739;2350779;0;1;1
20820;136946;2410363;1;1;1
20810;136950;2410360;1;1;1
