org;adr;dep;com;gps;lat;long;catr;voie;v1;v2;pr;pr1;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav
5;PAUL LACAVE ( AVENUE );971;107;;;;;;;;;;0;0;1;2;9;4;0;PAUL LACAVE ( AVENUE );;0,44
5;000, BAIMBRIDGE;971;101;;;;;;;;;;0;0;1;2;1;0;0;BAIMBRIDGE;;0,44
1;;971;118;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;POMBIRAY;971;125;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
5;00, Morne Salines;971;113;;;;;;;;;;0;0;1;1;1;0;0;Morne Salines;;0,44
5;00, PONT DE POUCET;971;113;;;;;;;;;;0;0;1;1;1;0;0;PONT DE POUCET;;0,44
1;;971;107;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;107;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Galbas;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;boulevard du LAMENTIN;971;103;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;MARQUISAT ( ROUTE DE );971;107;;;;;;;;;;0;0;1;2;0;;0;MARQUISAT ( ROUTE DE );;0,44
5;ELIE CHAUFFREIN ( RUE );971;107;;;;;;;;;;0;0;1;1;1;1;0;ELIE CHAUFFREIN ( RUE );;0,44
5;GERMAIN ST RUF (AVENUE );971;107;;;;;;;;;;0;0;1;4;1;1;0;GERMAIN ST RUF (AVENUE );;0,44
1;;971;116;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;31, MARQUIS DE BOUILLET;971;107;;;;;;;;;;0;0;1;2;1;31;0;MARQUIS DE BOUILLET ( RUE DU);;0,44
5;PAUL LACAVE ( AVENUE );971;107;;;;;;;;;;0;0;1;1;1;26;0;PAUL LACAVE ( AVENUE );;0,44
5;00, PERRIN;971;101;;;;;;;;;;0;0;1;1;1;0;0;PERRIN;;0,44
5;000, HIBISCUS;971;101;;;;;;;;;;0;0;1;0;1;0;0;HIBISCUS;;0,44
5;000, SECTION GRANDE RAVI;971;113;;;;;;;;;;0;0;1;1;1;0;0;SECTION GRANDE RAVINE;;0,44
5;SIDAMBAROM(AVENUE);971;105;;;;;;;;;;0;0;1;1;0;;1;SIDAMBAROM(AVENUE);;0,44
1;;971;123;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;00, SECTION MOREAU;971;113;;;;;;;;;;0;0;1;1;2;0;0;SECTION MOREAU;;0,44
5;00, FELIX EDINVAL;971;120;;;;;;;;;;0;0;1;1;1;0;0;FELIX EDINVAL;;0,44
